"registrim","regisannee","sigle","nbcours","etudiants"
"3","2016","ACM6031",1,15
"3","2016","ACT1200",1,112
"3","2016","ACT2040",1,55
"3","2016","ACT3030",1,48
"3","2016","ACT3040",1,44
"3","2016","ACT3122",1,27
"3","2016","ACT4020",1,56
"3","2016","ACT4121",1,49
"3","2016","ACT4320",1,25
"3","2016","ACT4545",1,41
"3","2016","ACT5001",1,35
"3","2016","ACT5120",1,58
"3","2016","ACT6220",1,24
"3","2016","ACT6420",1,56
"3","2016","ADM7128",1,6
"3","2016","ADM8100",1,5
"3","2016","ADM9201",1,11
"3","2016","ADM9939",1,4
"3","2016","ALL1030",1,32
"3","2016","ALL1100",3,123
"3","2016","ALL1200",1,27
"3","2016","ALL2000",2,54
"3","2016","ALL2010",1,33
"3","2016","ALL4040",1,17
"3","2016","ANG2051",1,43
"3","2016","ANG2052",2,71
"3","2016","ANG2053",2,63
"3","2016","ANG2054",1,37
"3","2016","ANG2055",1,33
"3","2016","ANG2056",1,41
"3","2016","ANG2067",1,36
"3","2016","ANG2152",1,41
"3","2016","ANG2157",1,31
"3","2016","ANG3002",2,79
"3","2016","ANG3005",1,39
"3","2016","ANG3051",2,71
"3","2016","ANG3052",2,52
"3","2016","ANG3053",1,29
"3","2016","ANG3054",1,32
"3","2016","ANG3055",2,65
"3","2016","ANG3067",2,62
"3","2016","ANG3151",1,36
"3","2016","ANG3154",2,74
"3","2016","ANG3155",1,30
"3","2016","ANG3156",1,36
"3","2016","ANG4002",1,35
"3","2016","ANG4005",1,19
"3","2016","ANG4051",1,37
"3","2016","ANG4056",1,38
"3","2016","ANG4152",1,25
"3","2016","ANG4153",1,20
"3","2016","ANG4154",1,34
"3","2016","ARA1110",1,41
"3","2016","ARA1200",1,31
"3","2016","ARA1300",1,18
"3","2016","ARV2020",1,42
"3","2016","ARV2030",1,38
"3","2016","ARV2040",1,44
"3","2016","ASC1500",2,98
"3","2016","ASC2047",1,49
"3","2016","ASC6003",3,152
"3","2016","ASC6805",3,156
"3","2016","ASC7805",1,17
"3","2016","ASM1350",3,162
"3","2016","ASM2501",2,108
"3","2016","ASM3400",5,93
"3","2016","ASM3406",1,20
"3","2016","ASM3452",4,105
"3","2016","ASS1025",2,44
"3","2016","ASS1320",1,40
"3","2016","ASS1351",2,67
"3","2016","ASS1402",1,31
"3","2016","ASS2051",2,108
"3","2015","ASS2063",1,58
"3","2016","ASS2063",5,255
"3","2016","ASS2225",2,43
"3","2016","ASS2460",1,50
"3","2016","ASS2515",1,24
"3","2016","ASS2860",1,33
"3","2016","ASS3216",1,30
"3","2016","ASS4805",1,33
"3","2016","ASS4815",4,94
"3","2016","ASS4840",1,39
"3","2016","ASS5830",2,88
"3","2016","ASS5835",1,37
"3","2016","ASS5855",3,114
"3","2016","ASS6050",2,82
"3","2016","ASS6055",1,34
"3","2016","ASS6230",2,82
"3","2016","ASS6235",1,41
"3","2016","ASS6815",2,109
"3","2016","ASS6826",2,88
"3","2016","ASS6834",2,88
"3","2016","ASS7101",1,20
"3","2016","ASS7104",1,12
"3","2016","ASS7105",1,18
"3","2016","ASS7114",2,39
"2","2016","ASS7161",1,13
"3","2016","ASS7162",2,23
"3","2016","ASS7165",1,4
"3","2016","ASS8002",2,35
"3","2016","ASS800A",1,14
"3","2016","ASS833B",1,8
"3","2016","AUT1000",1,48
"3","2016","AVI1002",1,35
"3","2016","AVI1101",1,16
"3","2016","AVI1301",1,23
"3","2016","AVI1302",1,25
"3","2016","AVI1401",1,29
"3","2016","AVM1001",2,129
"3","2016","AVM1100",1,26
"3","2016","AVM1310",1,25
"3","2016","AVM2340",2,28
"3","2016","AVM2341",1,15
"3","2016","AVM2501",2,41
"3","2016","AVM3100",1,27
"3","2016","AVM3203",1,25
"3","2016","AVM3301",1,24
"3","2016","AVM4001",1,14
"3","2016","AVM4101",1,31
"3","2016","AVM4603",1,27
"3","2016","AVM4900",1,7
"3","2016","AVM5700",1,20
"3","2016","AVM580J",1,14
"3","2016","AVM8180",1,10
"3","2016","BCM9003",1,5
"3","2016","BGP3000",1,14
"3","2016","BIA1000",2,78
"3","2016","BIA1200",1,96
"3","2016","BIA1301",1,98
"3","2016","BIA1400",1,98
"3","2016","BIA1800",1,21
"3","2016","BIA2001",1,72
"3","2016","BIA2002",1,71
"3","2016","BIA2700",1,19
"3","2016","BIA3010",1,23
"3","2016","BIA3030",1,25
"3","2016","BIA3510",1,21
"3","2016","BIA3710",1,1
"3","2016","BIA3720",1,4
"3","2016","BIA3730",1,6
"3","2016","BIA4000",1,66
"3","2016","BIF7105",1,21
"3","2016","BIO0300",1,54
"3","2016","BIO1004",1,11
"3","2016","BIO1010",1,46
"3","2016","BIO1050",1,63
"3","2016","BIO1700",1,52
"3","2016","BIO3100",1,79
"3","2016","BIO3600",1,29
"3","2016","BIO4020",1,29
"3","2016","BIO5123",1,51
"3","2016","BIO6821",1,35
"3","2016","BIO6963",1,60
"3","2016","BIO7212",1,3
"3","2016","CAR1000",1,69
"3","2016","CAR1100",3,168
"3","2016","CAR1200",2,129
"3","2016","CAR1650",5,138
"3","2016","CAR1700",5,113
"3","2016","CAR2620",2,124
"3","2016","CAR2902",2,122
"3","2016","CAR3401",2,93
"3","2016","CAR3750",4,101
"3","2016","CAR7200",2,24
"3","2016","CAR722B",1,9
"3","2016","CAR7300",2,27
"3","2016","CAR7710",2,14
"3","2016","CAR7801",2,26
"3","2016","CAR8901",1,22
"3","2016","CHI1301",1,63
"3","2016","CHI1380",1,18
"3","2016","CHI1402",1,70
"3","2016","CHI1515",1,17
"3","2016","CHI1570",1,75
"3","2016","CHI1780",1,14
"3","2016","CHI1800",1,46
"3","2016","CHI2100",1,19
"3","2016","CHI2104",1,6
"3","2016","CHI2130",1,17
"3","2016","CHI2170",1,22
"3","2016","CHI2300",1,77
"3","2016","CHI2403",1,20
"3","2016","CHI2423",1,26
"3","2016","CHI2441",1,39
"3","2016","CHI2520",1,41
"3","2016","CHI2832",1,33
"3","2016","CHI3133",1,14
"3","2016","CHI3173",1,19
"3","2016","CHI3202",1,41
"3","2016","CHI3483",1,64
"3","2016","CHI3513",1,22
"3","2016","CHI3533",1,23
"3","2016","CHI3550",1,24
"3","2016","CHI7540",1,8
"3","2016","CHI8100",1,11
"3","2016","CHI8305",1,6
"3","2016","CHN1100",2,39
"3","2016","CHN1110",1,24
"3","2016","CHN1200",1,16
"3","2016","CHN1300",1,9
"3","2016","CHN1400",1,12
"3","2016","COM1011",3,81
"3","2016","COM1015",2,65
"3","2016","COM1065",1,36
"3","2016","COM1090",2,81
"3","2016","COM1105",4,90
"3","2016","COM1115",3,105
"3","2016","COM1125",3,104
"3","2016","COM1133",1,32
"3","2016","COM1151",2,92
"3","2016","COM1153",1,29
"3","2016","COM1158",1,91
"3","2016","COM1433",2,61
"3","2016","COM1613",2,65
"3","2016","COM1623",2,58
"3","2016","COM1625",1,61
"3","2016","COM1627",2,82
"3","2016","COM1630",4,231
"3","2016","COM2025",1,36
"3","2016","COM2180",1,46
"3","2016","COM2659",3,86
"3","2016","COM3003",2,132
"3","2016","COM3065",2,50
"3","2016","COM3066",3,88
"3","2016","COM3070",2,85
"3","2016","COM3104",3,121
"3","2016","COM3111",1,64
"3","2016","COM3112",1,33
"3","2016","COM3113",1,55
"3","2016","COM3118",2,66
"3","2016","COM3121",3,160
"3","2016","COM3126",2,64
"3","2016","COM3130",3,164
"3","2016","COM3136",3,136
"3","2016","COM3215",4,128
"3","2016","COM3400",2,64
"3","2016","COM4065",1,33
"3","2016","COM5053",1,26
"3","2016","COM5065",2,139
"3","2016","COM5500",1,17
"3","2016","COM6200",1,33
"3","2016","COM7201",1,18
"3","2016","COM7501",1,7
"3","2016","COM7524",1,14
"3","2016","COM7601",1,19
"3","2016","COM7611",1,8
"3","2016","COM7632",1,5
"3","2016","COM7701",1,16
"3","2016","COM7814",1,2
"3","2016","COM9124",1,10
"3","2016","COM9190",1,3
"3","2016","CPS2000",2,31
"3","2016","DAN1033",2,32
"3","2016","DAN1040",1,34
"3","2016","DAN2061",1,32
"3","2016","DAN4111",1,19
"3","2016","DAN4312",1,22
"3","2016","DAN7400",1,8
"3","2016","DAN7810",1,8
"3","2016","DCM7611",1,24
"3","2016","DDD1000",1,44
"3","2015","DDD1100",1,17
"3","2016","DDD1100",5,188
"3","2016","DDD1210",5,250
"3","2016","DDD1230",2,101
"3","2016","DDD1590",1,19
"3","2016","DDD2090",1,21
